=== DTE TwinCAT command list 2026-04-27 16:41:36 +08:00 ===
DTE: D:\large_software2\2022\Microsoft Visual Studio\2022\Community\common7\ide\devenv.exe
Version: 17.0

--- Commands containing TwinCAT/TcXae/Run/Config ---
OtherContextMenus.PlcCodeWinContextMenu.DeactivateUnusedVisualizations | Guid={AE0DD382-4634-442D-96BB-5AF683FBABE3} | ID=20480
Python.ActivateEnvironment | Guid={BDFA79D2-2CD2-474A-A82A-CE8694116825} | ID=16393
OtherContextMenus.WorkspaceContextMenu.Deactivatevcpkgenvironment | Guid={1CDC6AC9-86A4-4B40-9BD4-8D67A0EBFA99} | ID=4217
Help.RestartReportaProblem | Guid={769A4361-AD47-4FF4-86D8-D13BFDB7ED65} | ID=259
TeamFoundationContextMenus.MyWorkPageMyWorkItems.TfsContextMyWorkPageActivateWorkItem | Guid={FFE1131C-8EA1-4D05-9728-34AD4611BDA9} | ID=6371
TwinCAT.活动项目 | Guid={40EE08E0-8FB4-46E9-BAAB-100E60019B7B} | ID=4772
TwinCAT.选择目标系统 | Guid={40EE08E0-8FB4-46E9-BAAB-100E60019B7B} | ID=4373
TwinCAT.用户 | Guid={40EE08E0-8FB4-46E9-BAAB-100E60019B7B} | ID=4518
TwinCAT.选择TwinCAT版本 | Guid={40EE08E0-8FB4-46E9-BAAB-100E60019B7B} | ID=33536

=== done 2026-04-27 16:41:58 +08:00 ===
